# Loads colliders by default
# Use the keywords 'fear' to change input to fear zones and
# 'collider' to go back to loading colliders

# x y width height
# x y width height isHarmful isDiggable isWater friction

0 700 100 100
0 800 100 100
0 900 100 100
0 1000 100 80
100 1000 100 80
200 1000 100 80
400 1000 100 80
500 1000 100 80
600 1000 100 80
700 1000 100 80
800 1020 100 80
900 1040 100 80
1000 1060 100 80
1100 1080 100 80
1200 1080 100 80
1300 1080 100 80
1400 1080 100 80
1500 1080 100 80
1900 1080 100 80
2000 1080 100 80
2100 1080 100 80
2200 1080 200 80 false true false 0.85
2400 1080 100 80
2500 1080 100 80
2600 1080 100 80
2700 1080 100 80
2800 1080 100 80

2100 1160 100 80
2100 1240 100 80
2100 1320 100 80

2200 1160 200 240

2100 1400 100 80
2200 1400 100 80
2300 1400 100 80
2400 1400 100 80
2500 1400 100 80
2600 1400 100 80
2700 1400 100 80
2800 1400 100 80

2400 1160 100 80

tunnel
21 30
